I_sample,N,n,opt,error,lmbd,phi
8892.592592592593,8,1000,0.2,0.0,0.8,0.7853981633974483
5134.730538922155,50,1000,0.2,0.0,0.8,0.7853981633974483
7685.6594110115175,50,2000,0.1,0.0,0.8,0.7853981633974483
3977.799867461895,50,1000,0.25,0.0,0.8,0.7853981633974483
145.8832496899273,50,200,0.05,0.0,0.8,0.7853981633974483
250.6025268305509,50,500,0.05,0.0,0.8,0.7853981633974483
317.6625629802576,50,500,0.05,0.0,0.8,0.7853981633974483
767.2345993643302,50,2000,0.05,0.0,0.8,0.7853981633974483
2547.687793338858,8,2000,0.05,0.0,0.8,0.7853981633974483
3737.5077494466177,8,4000,0.05,0.0,0.8,0.7853981633974483
9352.270572861213,8,4000,0.05,0.0,0.8,0.7853981633974483
5592.487179861499,8,8000,0.05,0.0,0.8,0.7853981633974483